metric,month_1,month_2,month_3,month_4,month_5,month_6,trend,notes
total_signups,1640,2180,2650,3290,3870,4210,growing,"Good acquisition, front desk pushing signups"
monthly_active_users,1380,1150,920,780,650,510,declining,"This is the problem - sign up and disappear"
app_opens_per_user,5.1,4.2,3.3,2.6,1.9,1.2,declining,"Engagement dropping fast"
avg_visits_per_month,4.2,3.7,3.1,2.5,2.0,1.4,declining,"Visit frequency declining"
points_redeemed,412,368,321,287,243,198,declining,"Fewer members reaching rewards"
tier_bronze_pct,75,79,83,87,89,91,growing,"Most stuck at lowest tier"
tier_silver_pct,19,16,13,10,9,7,declining,"Fewer reaching middle tier"
tier_gold_pct,6,5,4,3,2,2,declining,"Almost no one hits top tier"
30_day_retention,48,42,38,34,31,28,declining,"Members leaving quickly"
90_day_retention,31,27,24,20,17,15,declining,"Long-term retention terrible"
nps_program,38,32,27,21,17,13,declining,"Satisfaction dropping"
nps_overall_brand,71,70,72,71,70,69,stable,"Brand strong, program weak"
push_notification_opens,14,12,9,8,6,5,declining,"Members ignoring notifications"
email_open_rate,21,19,16,14,12,10,declining,"Emails becoming spam"
avg_days_between_visits,3.8,4.6,5.4,6.8,8.2,10.1,growing,"Longer gaps between workouts"
churn_to_competitor,unknown,unknown,11,13,15,17,growing,"Losing to Planet Fitness/24 Hour"
member_lifetime_value,52,47,42,38,34,30,declining,"Each member worth less over time"
program_cost_per_member,7.80,8.90,10.20,11.60,13.40,15.20,growing,"More expensive per member"
roi_estimate,2.1,1.7,1.3,1.0,0.6,0.4,declining,"ROI approaching break-even"
